#N =          J1         KA         KC         J2          E
  572         24          0         24          1   5924.306
  573         14         13          1          3   5939.455
  574         13         11          3          5   5940.035
  575         16         11          5          3   5943.925
  576         14         10          4          5   5953.291
  577         17          5         13          5   5956.133
  578         18          8         10          3   5960.521
  579         16          7          9          5   5963.327
  580          4          4          0          9   5971.483
  581         19          6         14          3   5977.332
  582          5          3          3          9   5983.044
  583         12         12          0          5   5985.915
  584         14          2         12          7   5990.557
  585         21          3         19          3   5998.495
  586         10          9          1          7   6018.137
  587         11          8          4          7   6020.214
  588          6          1          5          9   6021.686
  589         15          9          7          5   6028.091
  590         17         10          8          3   6038.184
  591         13          5          9          7   6040.054
  592         20          6         14          1   6059.031
  593         21          5         17          1   6059.614
  594         22          1         21          3   6061.121
  595         15          2         14          7   6063.070
  596          7          1          7          9   6064.329
  597         19          9         11          1   6065.772
  598         23          1         23          3   6077.626
  599          6          2          4          9   6082.512
  600         12          7          5          7   6084.061
  601         16         13          3          1   6085.064
  602         16          0         16          7   6088.236
  603          5          4          2          9   6093.253
  604         17         12          6          1   6109.548
  605         15         14          2          1   6120.044
  606         18          3         15          5   6120.303
  607          6          3          3          9   6141.815
  608         17          6         12          5   6169.783
  609         16          8          8          5   6170.361
  610         20          4         16          3   6188.039
  611          7          2          6          9   6188.812
  612         14          3         11          7   6195.190
  613         18         11          7          1   6195.604
  614         18          9          9          3   6199.994
  615         19          7         13          3   6204.043
  616         13          6          8          7   6211.070
  617         20          7         13          1   6212.519
  618         22          3         19          1   6216.617
  619          8          0          8          9   6222.551
  620         19          3         17          5   6233.997
  621          5          5          1          9   6234.502
  622          6          4          2          9   6241.171
  623         14         11          3          5   6281.223
  624         11          9          3          7   6285.922
  625          7          3          5          9   6297.714
  626         20          1         19          5   6299.270
  627         13         12          2          5   6301.452
  628         16         12          4          3   6302.324
  629         15         13          3          3   6304.049
  630         12          8          4          7   6314.412
  631         10         10          0          7   6317.115
  632         21          1         21          5   6318.227
  633         15          3         13          7   6318.835
  634         15         10          6          5   6320.978
  635         23          3         21          1   6323.973
  636         19         10         10          1   6346.844
  637         21          4         18          3   6347.392
  638         21          6         16          1   6350.021
  639         14          4         10          7   6354.249
  640         17         11          7          3   6361.157
  641         20          8         12          1   6362.884
  642          8          1          7          9   6363.730
  643         14         14          0          3   6364.585
  644         17          7         11          5   6373.970
  645         18          4         14          5   6377.850
  646          6          5          1          9   6380.570
  647         24          1         23          1   6384.006
  648         16          1         15          7   6389.647
  649         25          1         25          1   6398.070
  650          9          1          9          9   6399.498
  651         13          7          7          7   6405.872
  652          7          4          4          9   6412.048
  653         17          1         17          7   6413.560
  654         16          9          7          5   6423.821
  655         19          8         12          3   6428.134
  656         20          5         15          3   6453.443
  657         22          2         20          3   6456.228
  658         14          5          9          7   6465.036
  659          8          2          6          9   6467.182
  660         18         10          8          3   6483.642
  661         17         13          5          1   6499.688
  662         16         14          2          1   6508.853
  663         23          2         22          3   6517.552
  664         24          0         24          3   6532.836
  665          8          3          5          9   6535.945
  666         19          4         16          5   6542.728
  667         15          4         12          7   6546.985
  668         18         12          6          1   6550.743
  669          7          5          3          9   6551.694
  670          6          6          0          9   6553.301
  671         22          4         18          1   6557.639
  672          9          2          8          9   6562.318
  673         20          9         11          1   6574.785
  674         15         15          1          1   6576.709
  675         12          9          3          7   6578.811
  676         14          6          8          7   6583.055
  677         11         10          2          7   6584.204
  678         18          5         13          5   6592.753
  679         17          8         10          5   6593.731
  680         10          0         10          9   6594.929
  681         21          7         15          1   6610.317
  682          8          4          4          9   6618.681
  683         13          8          6          7   6634.257
  684         14         12          2          5   6641.835
  685         15         11          5          5   6647.580
  686         20          2         18          5   6654.654
  687         19         11          9          1   6664.542
  688         16          2         14          7   6665.337
  689         20          6         14          3   6667.561
  690         21          5         17          3   6668.144
  691         19          9         11          3   6674.302
  692         16         13          3          3   6693.594
  693         13         13          1          5   6695.046
  694          9          3          7          9   6701.721
  695         23          4         20          1   6712.890
  696         16         10          6          5   6714.320
  697         17         12          6          3   6718.078
  698         21          2         20          5   6718.596
  699          7          6          2          9   6723.537
  700         15         14          2          3   6728.574
  701         17          2         16          7   6734.774
  702         22          0         22          5   6736.326
  703         18          6         12          5   6747.675
  704         15          5         11          7   6748.281
  705          8          5          3          9   6749.016
  706         14          7          7          7   6757.218
  707         18          0         18          7   6757.439
  708         10          1          9          9   6777.029
